Name,Location_Area,Raw_Pet_Review,Vibe,Extracted_Rules,Maps_Link
Gouqi Fine Dining Chinese,St. James's,"I visited Gouqi on Sunday 11 January 2026 and tried a great spread: the three-course clay pot lunch menu, the three-course noodle lunch menu, and the afternoon tea menu. We also brought our 9-month-old golden retriever, and the team was genuinely so dog-friendly and provided a water bowl, which made the experience even better! They also charged my IPhone which was much appreciated.

The standout dish for me was the shark fin soup on the afternoon tea menu - something I hadn’t tried before and was purely excellent. The Hong Kong Wonton Noodle Soup was also a highlight, and the Champagne Mango Sago dessert is a must-try. The food quality and taste truly resonates a fine dining experience.

It was also a pleasure meeting the owner and chef, Tong, and the service throughout was exceptional. Thank you to Udaye and Jing for being so attentive and welcoming.

The location also made the experience very convenient: right by Trafalgar Square and Charing Cross Station. It is also very well located for sightseeing (Big Ben, Buckingham Palace, Oxford Street, Soho etc.). A must-visit for anyone in London - whether for food or even just drinks/cocktails! The atmosphere is iconic!",Fine dining and elegant; sophisticated contemporary Chinese atmosphere.,Well-behaved dogs welcome; refined setting; advanced booking with pet recommended.,https://maps.app.goo.gl/KnbynbfLgys6kT4E9?g_st=il
Gloria,Shoreditch,"EXCEPTIONAL service, the staff are 10/10. Had my baby and our friends dog and they were so accommodating and kind, even let the dog sit on the chair with us (on a towel). Also holy crap the food is magic, the pasta I had blew me away!",High-energy and flamboyant; 70s Italian retro vibes; very lively and social.,Extremely dog-friendly; all sizes welcome; pets often treated like VIPs by staff.,https://maps.app.goo.gl/qBxtsSU2GnbvVhpq7?g_st=il
Riding House Fitzrovia,Fitzrovia,"Riding House Fitzrovia shines with its stylish, zoned design—buzzing bar, cozy lounge, and sleek dining room—bathed in natural light  . Its inventive modern‑European menu, from pancakes and skewers to miso sea bass, suits any time of day  . Friendly service, lively vibe, dog‑friendly and central location make it perfect for brunch, drinks, or a relaxed meal.","Bustling and social; modern brasserie with a relaxed, upscale neighborhood feel.",Very dog-friendly; all sizes welcome; dogs allowed in the main bar and dining area; water provided.,https://maps.app.goo.gl/YMJ2fsDdnmA4YHLo7?g_st=il
One Rice,Shoreditch,"Had a fabulous meal here - super filling and very decent sized portions, really authentic flavours and friendly staff. Price wise, very reasonable too. We took our small dog and they were very accommodating and dog friendly. Ordered the crab congee - definitely a must order, SO flavourful and had good amount of crab meat. Also loved the black pepper chicken wings - still thinking about this!!! Could not fault our time here, 10/10 would visit again.",Traditional and comforting; home-cooked Teochew vibes in a simple setting.,Dogs welcome; best for small to medium breeds; usually quiet during weekdays.,https://maps.app.goo.gl/jskP6YQD64z3xauTA?g_st=il
Teo HotPot 贰捌潮汕火锅,Bloomsbury,"5/5 Amazing Experience – Dog Friendly & Best Beef Hotpot in London! I had one of the best hotpot experiences at Teo HotPot (贰捌潮汕火锅) on Store Street. The quality of the beef was incredibly fresh – you can really taste the difference. The staff even reminded us to cook the meat for only 7 seconds to enjoy the perfect tenderness. Every dish was delicious, especially the handmade tendon meatballs and deep-fried shredded beef, which were crispy outside and full of flavour. The Mooli Beef Broth was clean and naturally sweet, and the Satay Beef Broth was rich without being too heavy. Perfect balance! The Angus Beef Fried Rice was another highlight – dry-fried, fragrant, and full of wok flavour. But the biggest surprise? 👉 They offer freshly cooked beef bones for dogs – completely free! We brought our dog, and they prepared a fresh bone (from the same broth they use for the soup) just for him, plus a little bone broth to drink. It was heartwarming to see how pet-friendly this restaurant is. My dog was so happy that he literally fell asleep chewing the bone! The service was excellent – very attentive, kind, and welcoming to both people and pets. The restaurant is clean, cozy, and perfect for couples, friends or anyone looking for authentic Chaoshan beef hotpot. 📍Address: 28 Store St, London WC1E 7BS 🚇 Close to Goodge Street station (3 min walk) Highly recommended if: ✔️ You love fresh beef hotpot ✔️ You want authentic Chaoshan flavours ✔️ You want to dine out with your dog Will definitely come back again! 🐶🔥","Authentic and cozy; traditional hotpot setting with a warm, communal atmosphere.",Small to medium dogs welcome; best to call ahead; seating is relatively spacious for a hotpot place.,https://maps.app.goo.gl/Q2esm6J3i8PRrSZY8?g_st=il
YiQi,Soho,"The food was so good! Reminded me of our time in  Asia - super authentic flavours. We ordered the Malaysian curry crab (easily can be shared with 2-3 people it was huge) - other dishes were also quite large in portion size. Loved the milk tea - very sweet and tasty. Dog friendly outside on the terrace, brought our dog water without asking which was fab and staff were helpful and nice.

Terrace can be covered in case it rains - just ask them
",Modern and chic; trendy Pan-Asian spot with vibrant decor and high-energy.,Dog-friendly in designated areas; best for well-behaved pets; compact seating (typical for Chinatown).,https://maps.app.goo.gl/zuoVbyQrEdStKF7V7?g_st=il
Roe - Canary Wharf,Canary Wharf,"This is our second time visiting Roe — we came back because the food was so good the first time, and decided to celebrate both my partner’s and our dog’s birthdays here in October.

Once again, the food was amazing (including the dog steak — generous portion and perfectly cooked!), but what really stood out this time was the excellent service. Our server, Andy, was incredibly attentive, helpful, and friendly. We asked for a larger table so our dog could have some space, and Andy made sure we were comfortable and happy throughout the meal. I’d give him a 10/10 for service.
he truly made our dinner special.

All the other staff were also super friendly to our dog, which made the whole experience even more joyful. We felt very welcomed and really enjoyed being there. We’ll definitely recommend Roe to everyone we know!",Grand and airy; spectacular multi-level space with terrace views and eco-conscious design.,Dogs welcome in the bar area and terrace; very spacious; great for larger breeds; treats often available.,https://maps.app.goo.gl/etqNGMJuVCUbewB7A?g_st=il
Noodle & Beer Chinatown,Soho,"Absolutely loved this place! I had the beef ribs noodles – the staff even sprinkled gold dust on top, which felt so ceremonial and memorable. The beef was slow-cooked, super tender and full of flavour. For anyone who loves spice, this is honestly heaven. We also tried the Lang-ya potatoes – crispy on the outside, soft inside, and the portion was huge, perfect for sharing between three of us. The atmosphere is really relaxed, and it’s pet-friendly too – my little dog was so happy in the restaurant. Such a great spot for good food and a fun experience!","Industrial and cool; Sichuan-style eatery with a modern, edgy vibe and spicy aromatics.",Small dogs welcome; limited space; best for pets comfortable with spicy smells and busy crowds.,https://maps.app.goo.gl/4xtnyZqA5HkXYs1A6?g_st=il
The Duck and Rice,Soho,"We had the best Cantonese roast duck, the tofu and crab clay pot and the garlic pak choi with rice to share, and we loved all of it. Really appreciate being able to sit and eat in the bar area with our small dog too, this place is seriously cool. Tank-fresh beer gets a mention as well, another excellent touch. Loved it!",Iconic and vibrant; stylish British pub meets upscale Chinese dining.,Dogs allowed downstairs (bar area) only; water provided; gets very busy.,https://maps.app.goo.gl/WUW4HWRdBJJmN2wz8?g_st=il
L'Escargot Restaurant,Soho,"An easy 5 star sweep across the board for Brian Clivas’s Soho institution L’Escargot. Delightful service and delicious French food served in a warm, beautifully inviting setting nestled in the beating heart of Soho’s Greek Street.

At the time of writing there is an excellent value lunch menu at £20 for two courses and £25 for three. It doesn’t get better in Central London.

This is somewhere you’ll want to revisit time and time again.

Bonus that it’s dog friendly!

Food: French

What I liked:

• Top notch Service
• Stunning interior
• Perfectly portioned, beautifully presented food
• Great price point

What I didn’t like:

• N/A

Do I recommend going? YES
Will I go again? YES
Was it good value? YES
Price Point: $$
","Historic and eccentric; classic French institution with plush, old-world charm.","Extremely dog-friendly; famous for welcoming pets in the bar and lower dining rooms; ""VIP treatment"" for dogs.",https://maps.app.goo.gl/nrZJvTneKkNdudmJ9?g_st=il
Tapas Brindisa Battersea,Battersea,"This amazing Spanish tapas dishes and tasty, and the cocktails were amazing. They are dog-friendly and offer a dog food menu. The place has a great variety on the menu, friendly staff, and a lovely atmosphere, making it a perfect spot to chill.",Breezy and casual; riverside setting with a lively Spanish market feel.,Dogs allowed in the bar and outdoor terrace; perfect for post-walks at Battersea Park; all sizes welcome.,https://maps.app.goo.gl/iTLwwpoCGCguXhnB6?g_st=il
Marceline,Canary Wharf,"I recently dined at Marceline with my small dog, Ruby, and I must say, we were made to feel incredibly welcome from the moment we arrived. The team was friendly, engaging, and attentive, which really enhanced the overall experience. The atmosphere was warm and inviting, making it the perfect spot for a relaxed yet enjoyable meal. I’ve dined here several times, and the consistency of both the food and service is impressive. Each dish is prepared with care, offering a delightful blend of flavors that always satisfies. Whether you're dining alone, with friends, or even with your furry companion, The Marceline team ensures everyone feels at home. Highly recommended for anyone looking for a memorable dining experience!",Sophisticated French Brasserie; elegant yet approachable with floating pavilion views.,Pet-friendly indoors and on the terrace; refined setting; best for calm dogs; water bowls provided.,https://maps.app.goo.gl/cj54kF44ki7f1ZdMA?g_st=il
Gaucho Tower Bridge,Tower Bridge,"Food was unbelievable, from the snacks, starter, mains and desert.
Got steak and I have to say, one of if not the nicest steaks I have had. This place is definitely on the higher price end however the food is cooked to perfection.
The staff were lovely and nothing was an issue for them.
They are extremely accommodating. I saw a couple who brought in their dog and sat inside for dinner.","Sleek and luxurious; modern steakhouse with dark, dramatic interiors and river views.","Famous ""Doggy Sunday"" events; well-behaved dogs welcome during specific hours; high-end pet policy.",https://maps.app.goo.gl/pCCvvKhGFrkwqmFa6?g_st=il
Sticks'n'Sushi Shoreditch,Shoreditch,Good tasting sushi. We’ve ordered Four Meal Drive and Perfect Day for party of 6. Portion was just nice. The restaurant is dog friendly as well. Good location for birthday lunch. The restaurant connects to another cafe as well. The staffs were kind enough to let us order some coffee over but be sure to ask first.,"Minimalist and sleek; Scandi-Japanese fusion with a clean, high-design atmosphere.","Dogs allowed in the bar/lounge area; stylish setting; water provided; best for calm, socialized pets.",https://maps.app.goo.gl/Ab4hKWTdCi1GwVFu9?g_st=il
Dishoom Battersea,Battersea,"Dishoom in Battersea is an absolute gem! From the moment we arrived, the staff were incredibly attentive, going above and beyond to make our experience special. Their friendliness and willingness to help stood out, especially when they warmly accommodated our oversized dog without hesitation. Every need was met with a smile, and the service felt genuinely heartfelt. And the food? Tremendous - bursting with flavour and beautifully presented… the lamb chops were out of this world!! A perfect blend of exceptional hospitality and delicious cuisine. Highly recommend!!","Nostalgic and bustling; 1960s Irani cafe vibe with a social, warm feel.",First dog-friendly Dishoom; indoor seating for dogs; best for socialized pets.,https://maps.app.goo.gl/5jnD95fwkdsUJhh8A?g_st=il